,0
0,
1,Жатыр
2,Басқа жұрт аспанркөкке асып жатыр
3,Кілтін өнербілім ашып жатыр
4,Бірі  ай бірі  жұлдыз бірі күн боп
5,Жалтырап көктен нұрын шашып жатыр
6,Таласып өнербілім алып жатыр
7,Күнбекүн алға қарай барып жатыр
8,От жегіп көкте ұшып суда жүзіп
9,Тәңірінің рахметіне қанып жатыр
10,Ойламай біздің қазақ текке жатыр
11,Бір іске жанаса алмай шетте жатыр
12,Азырақ көз жүгіртіп қарап тұрсаң
13,Қазекең таң қаларлық көпте жатыр
14,Байларың мыңды айдаған шалқып жатыр
15,Бар малын болыстыққа сарқып жатыр
16,Барымта ұрыскеріс кісі өлтіріс
17,Ішінде сорлы қазақ қалқып жатыр
18,Кең жері күнненкүнге құрып жатыр
19,Сұр жылан бар қансөлін сорып жатыр
20,Астана жұрт билеген адамдарды
21,Тәңірі күннен күнге ұрып жатыр
22,Біреулер оқып төре болып жатыр
23,Шен алып бақыт құсы қонып жатыр
24,Ұмытып өзін өзі бұл сабазың
25,Жұртына қарсы таяқ соғып жатыр
26,Шәкірттер медреседе шіріп жатыр
27,Қайдағы ескі нұсқа көріп жатыр
28,Оқыған дін іздеген байғұс шәкірт
29,Жемтікші құзғын болып кіріп жатыр
30,Әйелдер мал орнына жүріп жатыр
31,Жас қызын малға шалға беріп жатыр
32,«Бес байтал  әйел құны» деген бір сөз
33,Қармаққа талай жасты іліп жатыр
34,Даужанжал ел арасы толып жатыр
35,Өзара таластартыс болып жатыр
36,Кешегі шешек жарған қазақ гүлі
37,Сарғайып бір су тимей солып жатыр
38,Мінекей қазақ солай бітіп жатыр
39,Күннен күн артқа қарай кетіп жатыр
40,Сезінбей өз өлгенін өзінікін
41,Аты өшкір оқығандар нетіп жатыр
42,Мағжан Жұмабаев
43,Мағжан Жұмабаев өлеңдері
44,өлеңдер
45,Қазақша өлең
46,жатыр
47,
48,Жауардың азаматтарына
49,Сағада сіз байтаққа аға Зәкең бар
50,Қарағашта хатқа жүйрік Бәкең бар
51,Ғабдолла бар атқа мініп алысқан
52,Елге сыйлы байыпты сөз Шәкең бар
53,Қалидан да естідім сөз орынды
54,Жеке мұрат жүйрік жігіт көрінді
