,0
0,"Қостанайда екі қабатты коттеджден өрт шығып, екі адам қаза болды, - деп хабарлайды ""Наша Газета""."
1,"Алматыдағы Самал шағынауданындағы Life town сауда орталығынан өрт шықты, - деп хабарлайды Tengrinews.kz тілшісі."
2,"Бангладештің оңтүстік-шығысында жүк тасымалдау қоймасында болған өрттен 40-тан аса адам қаза болды, - деп хабарлайды Reuters агенттігі."
3,"Афинада орман өрті өршіп тұр, - деп хабарлайды Reuters."
4,"Риддерде 31 үйдің өртеніп кетуіне кінәлі ер адам сотталды. Бұл туралы ШҚО соты мәліметінде айтылған, - деп хабарлайды YK-news.kz."
5,"Шығыс Қазақстанда орман өрті ауыздықталды, - деп хабарлайды Tengrinews.kz тілшісі ШҚО ТЖД баспасөз қызметіне сілтеме жасап."
6,"Семейде екі күннен бері орман өрті сөндіріліп жатыр. Алдын ала мәлімет бойынша, өрт аумағы - 160 гектар, - деп хабарлайды Tengrinews.kz тілшісі."
7,"Маңғыстауға барар жолда жүк көлігі өртеніп кетті, - деп хабарлайды ""Лада""."
8,Семей орманындағы өрт сөндіріліп жатыр. Өрттің ауданы шамамен 160 гектар болады. Куәгерлер әлеуметтік желілерге Қарағайлы ауданындағы және қаладан
9,"ШҚО-да алты бала ұйықтап жатқан үйде өрт шықты. Үй иесі өртті өзі өшірмек болған, - деп хабарлайды YK-news.kz."
10,"""МАЭК-Қазатомөнеркәсіп"" ЖШС ЖЭО-3 аумағында трансформатор өртенді. Өрттің жай-жапсары туралы облыстың Төтенше жағдайлар департаменті мәлімдеді,"
11,"Семей тұрғыны Дәурен Жанбаев екі адамды өрттен құтқарып қалды, - деп хабарлайды Tengrinews.kz тілшісі ""Хабар 24"" телеарнасына сілтеме жасап. "
12,"Павлодар облысы Успенка ауылының маңында 10 тонна күнбағыс майы тиелген жүк көлігі жанып кетті, - деп хабарлайды Tengrinews.kz тілшісі."
13,"Ресейде Сотниково ауылының тұрғыны бұрынғы әйелі мен екі баласын үйге қамап, тірідей өртеп жібермек болған, - деп хабарлайды ""Комсомольская"
14,"Көкшетау полицейлері ішінде бала бар жеке үйді өртегісі келгендерді анықтап, жағдайдың алдын алды, - деп хабарлайды Polisia.kz."
15,"Белгілі блогер Дәулет Мұқаевтың әпкесінің ұялы телефоны өртеніп кетті, - деп хабарлайды Tengrinews.kz тілшісі."
16,"Сенегал ауруханасында өрт болып, салдарынан жаңа туған 11 нәресте қаза болды. Бұл туралы ел президенті Маки Салл мәлімдеді, - деп хабарлайды"
17,"Алматылық өртсөндірушілер Hotel Plaza Almaty қонақүйінен 57 адамды құтқарды. Өрт төменгі қабатта орналасқан саунадан шыққаны белгілі болды,"
18,Қожамқұлов пен Қарасай батыр көшелері қиылысында орналасқан Plaza Hotel Almaty қонақүйінде өрт шықты. Оқиға орнынан түсірілген видео zhest-kz
19,"Қостанайда жанып жатқан көліктен 29 жастағы ер адамды құтқару сәті видеоға түсіп қалған, - деп хабарлайды Tengrinews.kz тілшісі."
20,"Алматыда ""Атакент"" маңында алапат өрт шықты. Куәгерлер оқиға видеосын таратып жатыр, - деп хабарлайды Tengrinews.kz тілшісі."
21,"Бүгін, 18 мамырда сағат 04-50-де Ақмола облысы, Бурабай ауданының Щучинск қаласында ""Жомарт"" базарының бір қабатты жеке тұрған ғимараты өртеніп"
22,"Алматыдағы Абай даңғылы мен Әуезов көшесі қиылысында өрт шықты. Жалын от шыққан аймақта ""Счастье"" мейрамханасы мен ""Центр геометрии"" ТЖО тұрған"
23,Перу елінде United Airlines әуекомпаниясына тиесілі Boeing 767-322ER ұшағы әуеге көтерілген бетте өртенген. Осы оқиғаның куәгері болған ұшақ
24,"Қытайлық Tibet Airlines әуекомпаниясына тиесілі (A319) жолаушылар ұшағы ұшу-қону алаңынан шығып кетіп, өртенген. Қытайдың Чунцина халықаралық"
